State_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,2001,Kharif,Rice,49142.31,102324.71
Uttar Pradesh,2001,Kharif,Maize,36757.56,91362.83
Uttar Pradesh,2001,Kharif,Soyabean,47596.96,102323.8
Uttar Pradesh,2001,Kharif,Cotton,5671.6,17136.34
Uttar Pradesh,2001,Kharif,Sugarcane,24716.79,54893.22
Uttar Pradesh,2001,Kharif,Groundnut,10202.04,22505.1
Uttar Pradesh,2001,Kharif,Bajra,21073.01,51808.97
Uttar Pradesh,2001,Kharif,Jowar,43963.47,106076.2
Uttar Pradesh,2001,Kharif,Arhar/Tur,75190.17,208868.22
Uttar Pradesh,2001,Kharif,Moong,7535.15,15164.14
Uttar Pradesh,2001,Rabi,Wheat,31399.84,75926.68
Uttar Pradesh,2001,Rabi,Mustard,22834.29,52290.61
Uttar Pradesh,2001,Rabi,Gram,6426.78,18919.19
Uttar Pradesh,2001,Rabi,Barley,939.01,2607.47
Uttar Pradesh,2001,Rabi,Lentil,61815.99,127622.39
Uttar Pradesh,2001,Rabi,Peas,69116.72,168690.05
Uttar Pradesh,2001,Rabi,Sunflower,25223.09,60894.2
Uttar Pradesh,2001,Rabi,Safflower,71033.41,158538.74
Uttar Pradesh,2001,Rabi,Linseed,60982.41,159481.48
Uttar Pradesh,2001,Rabi,Oats,42057.26,90710.85
Uttar Pradesh,2001,Whole Year,Banana,2998.62,7321.2
Uttar Pradesh,2001,Whole Year,Coconut,72651.53,160733.47
Uttar Pradesh,2001,Whole Year,Potato,18689.45,38078.05
Uttar Pradesh,2001,Whole Year,Onion,74410.96,203302.42
Uttar Pradesh,2001,Whole Year,Tomato,64391.93,153265.64
Maharashtra,2001,Kharif,Rice,64691.49,302505.0
Maharashtra,2001,Kharif,Maize,18620.85,84023.69
Maharashtra,2001,Kharif,Soyabean,1052.69,4504.97
Maharashtra,2001,Kharif,Cotton,10029.3,45047.14
Maharashtra,2001,Kharif,Sugarcane,41743.85,186846.52
Maharashtra,2001,Kharif,Groundnut,77014.56,308995.16
Maharashtra,2001,Kharif,Bajra,23144.82,88334.29
Maharashtra,2001,Kharif,Jowar,4592.56,20115.28
Maharashtra,2001,Kharif,Arhar/Tur,12019.14,57013.86
Maharashtra,2001,Kharif,Moong,53934.78,239056.39
Maharashtra,2001,Rabi,Wheat,29738.76,137688.83
Maharashtra,2001,Rabi,Mustard,7678.04,35338.54
Maharashtra,2001,Rabi,Gram,3741.62,
Maharashtra,2001,Rabi,Barley,41211.4,168846.06
Maharashtra,2001,Rabi,Lentil,55429.55,252534.49
Maharashtra,2001,Rabi,Peas,27614.77,114880.11
Maharashtra,2001,Rabi,Sunflower,21006.36,101543.02
Maharashtra,2001,Rabi,Safflower,42607.22,156616.37
Maharashtra,2001,Rabi,Linseed,72083.24,314667.61
Maharashtra,2001,Rabi,Oats,58213.48,304448.89
Maharashtra,2001,Whole Year,Banana,51541.52,182422.41
Maharashtra,2001,Whole Year,Coconut,48711.11,165808.32
Maharashtra,2001,Whole Year,Potato,902.4,3550.0
Maharashtra,2001,Whole Year,Onion,52330.92,217037.71
Maharashtra,2001,Whole Year,Tomato,26369.28,126506.45
Punjab,2001,Kharif,Rice,52780.22,238613.32
Punjab,2001,Kharif,Maize,21583.59,97099.95
Punjab,2001,Kharif,Soyabean,71417.7,384030.68
Punjab,2001,Kharif,Cotton,46363.86,205990.69
Punjab,2001,Kharif,Sugarcane,22821.4,83626.5
Punjab,2001,Kharif,Groundnut,75266.46,479680.81
Punjab,2001,Kharif,Bajra,1728.8,9918.46
Punjab,2001,Kharif,Jowar,77107.79,416456.8
Punjab,2001,Kharif,Arhar/Tur,68165.37,273246.14
Punjab,2001,Kharif,Moong,74924.3,398110.27
Punjab,2001,Rabi,Wheat,49393.07,273885.85
Punjab,2001,Rabi,Mustard,70251.16,390793.44
Punjab,2001,Rabi,Gram,29079.55,130740.05
Punjab,2001,Rabi,Barley,69432.25,402444.61
Punjab,2001,Rabi,Lentil,63964.47,341053.56
Punjab,2001,Rabi,Peas,71255.42,301899.96
Punjab,2001,Rabi,Sunflower,46473.27,165684.46
Punjab,2001,Rabi,Safflower,23280.03,
Punjab,2001,Rabi,Linseed,65896.74,268348.3
Punjab,2001,Rabi,Oats,61714.49,255426.21
Punjab,2001,Whole Year,Banana,4608.7,22433.42
Punjab,2001,Whole Year,Coconut,58224.26,346958.01
Punjab,2001,Whole Year,Potato,63717.3,262903.73
Punjab,2001,Whole Year,Onion,2515.38,15855.78
Punjab,2001,Whole Year,Tomato,33011.76,120921.18
Haryana,2001,Kharif,Rice,44163.52,240950.25
Haryana,2001,Kharif,Maize,76411.79,412840.98
Haryana,2001,Kharif,Soyabean,33858.2,135455.45
Haryana,2001,Kharif,Cotton,1644.28,
Haryana,2001,Kharif,Sugarcane,68509.12,358438.32
Haryana,2001,Kharif,Groundnut,39583.46,173278.82
Haryana,2001,Kharif,Bajra,32181.13,
Haryana,2001,Kharif,Jowar,30281.7,153462.42
Haryana,2001,Kharif,Arhar/Tur,52866.14,188824.63
